Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI_14,MA_50,MA_200,Vol_20d_Avg,Vol_Ratio,Momentum_5d,Volatility_20d,52w_High,52w_Low,Dist_from_52w_High,Dist_from_52w_Low
2025-10-01 00:00:00-04:00,309.46414008660315,310.0752375005356,302.99828667529783,306.25091552734375,9235200,0.0,0.0,,,,,,,,,,,
2025-10-02 00:00:00-04:00,305.5510816946321,306.1030425326149,301.7464923414213,303.13623046875,7600000,0.0,0.0,,,,,,,,,,,
2025-10-03 00:00:00-04:00,304.08248279942853,307.18727011434805,303.78677014872494,305.5806579589844,6029900,0.0,0.0,,,,,,,,,,,
2025-10-06 00:00:00-04:00,307.21486689804453,308.7698659390142,302.2131538143922,306.22442626953125,7214500,1.5,0.0,,,,,,,,,,,
2025-10-07 00:00:00-04:00,306.39285354178503,307.0465480670538,301.78731007714714,304.74871826171875,8454200,0.0,0.0,,,,,,,,,,,
2025-10-08 00:00:00-04:00,305.2636917190969,305.8282501205831,300.64823485280857,301.1236572265625,6489900,0.0,0.0,,,,,,-1.6742017871040349,,,,,
2025-10-09 00:00:00-04:00,302.13392206728275,305.09536030036105,300.4898171115272,302.6093444824219,7060300,0.0,0.0,,,,,,-0.17381161780410936,,,,,
2025-10-10 00:00:00-04:00,302.7380934229591,307.50211054267186,297.9344502139145,298.0137023925781,8597400,0.0,0.0,,,,,,-2.476254752819429,,,,,
2025-10-13 00:00:00-04:00,302.6786918104351,306.5017785031187,302.53013174675476,305.0260314941406,10788700,0.0,0.0,,,,,,-0.3913452594195843,,,,,
2025-10-14 00:00:00-04:00,302.91638858642943,304.0653034578676,291.39755808509767,299.19232177734375,16178800,0.0,0.0,,,,,,-1.8232714861176724,,,,,
2025-10-15 00:00:00-04:00,303.4611428511513,309.13634876005415,302.520212088773,302.767822265625,11354800,0.0,0.0,,,,,,0.5460099197139634,,,,,
2025-10-16 00:00:00-04:00,302.43105556912377,305.72920960204,294.2302082762473,295.6861572265625,10549400,0.0,0.0,,,,,,-2.2878299636452715,,,,,
2025-10-17 00:00:00-04:00,296.30025689141456,296.68651306450823,291.3876792596173,294.7155456542969,10153500,0.0,0.0,,,,,,-1.1067131181560663,,,,,
2025-10-20 00:00:00-04:00,295.6465484229892,300.78693806489423,295.3098022126917,299.4696350097656,6894900,0.0,0.0,42.725959155721675,,,,,-1.82161386592401,,,,,
2025-10-21 00:00:00-04:00,298.7763208850087,301.1434582480101,294.16086397135297,294.25,7372700,0.0,0.0,38.42337239644664,,,,,-1.6518879054061353,,,,,
2025-10-22 00:00:00-04:00,294.92353982678844,295.21077611588424,287.76267234049385,291.29852294921875,8054100,0.0,0.0,38.54474041698659,,,,,-3.7881500189091977,,,,,
2025-10-23 00:00:00-04:00,291.5659521228084,293.53691953831486,289.7138327608809,291.72442626953125,5438800,0.0,0.0,36.04631222583019,,,,,-1.3398432291152784,,,,,
2025-10-24 00:00:00-04:00,293.2496561856281,299.70734860853685,292.6257039619419,297.5679931640625,7228300,0.0,0.0,42.10907872950309,,,,,0.9678646246613631,,,,,
2025-10-27 00:00:00-04:00,299.27155593587753,301.6188954834183,298.13255521259686,301.2425231933594,5642200,0.0,0.0,46.92705393991104,,,,,0.5920093312752561,,,,,
2025-10-28 00:00:00-04:00,301.9457586189306,305.0260451309229,300.26202744552563,302.44097900390625,6336000,0.0,0.0,51.20583502804657,,,8333680.0,0.7602883720037247,2.783680205235761,,,,,
2025-10-29 00:00:00-04:00,300.6086875532579,305.3033671273222,300.1134671686232,302.5895690917969,7520300,0.0,0.0,49.98144400039862,,,8247935.0,0.9117797363825005,3.8761082714265704,21.372374631740108,,,,
2025-10-30 00:00:00-04:00,302.8668617019339,309.62164411662417,302.1834552198523,306.4819641113281,7514600,0.0,0.0,58.05236381195365,,,8243665.0,0.9115605740893159,5.058725465848379,21.555394053258464,,,,
2025-10-31 00:00:00-04:00,305.5905808443981,309.8791757592273,304.3129038831637,308.1459045410156,7721300,0.0,0.0,53.302566408617324,,,8328235.0,0.9271232139823143,3.55478802154674,21.45504572447194,,,,
2025-11-03 00:00:00-05:00,308.02707397940236,309.3344630267029,303.28285431242927,306.3928527832031,7770000,0.0,0.0,58.34294519787476,,,8356010.0,0.9298696387390633,1.7096954092825412,21.55606700828288,,,,
2025-11-04 00:00:00-05:00,303.7780648320401,309.23540287266394,302.1834697809128,306.2937927246094,7085200,0.0,0.0,54.44334626788756,,,8287560.0,0.8549199040489601,1.273905981058654,21.478511627422012,,,,
2025-11-05 00:00:00-05:00,306.6503419445097,310.107000668758,302.70840715746203,308.7005615234375,6865200,0.0,0.0,68.59090385963444,,,8306325.0,0.8265026952352574,2.019564801913809,21.127712117479103,,,,
2025-11-06 00:00:00-05:00,308.01715622418413,311.83035912038315,307.2941538281452,310.4239501953125,7206100,0.0,0.0,71.96681503736295,,,8313615.0,0.8667829818917523,1.2862049143461007,21.143652206450547,,,,
2025-11-07 00:00:00-05:00,308.90856044061366,311.4242580235003,304.6991875199946,311.20635986328125,7302300,0.0,0.0,68.46374022896461,,,8248860.0,0.8852495981262866,0.9931838382938096,20.219785191448057,,,,
2025-11-10 00:00:00-05:00,311.9888313123107,316.5052386427636,311.2063746689554,313.86077880859375,5794100,0.0,0.0,83.5594633042759,,,7999130.0,0.7243412721133423,2.4373695265909934,18.774899471598776,,,,
2025-11-11 00:00:00-05:00,314.4649387231156,316.00010979819433,312.2661590448994,312.6029052734375,5030200,0.0,0.0,88.70096838071754,,,7441700.0,0.6759477001222839,2.059823835379082,17.280096054481696,,,,
2025-11-12 00:00:00-05:00,313.23678409164455,319.16951418656384,313.1872439213492,317.34710693359375,10578300,0.0,0.0,90.2332713576508,,,7402875.0,1.4289448356212957,2.800949038604128,17.55599317236821,,,,
2025-11-13 00:00:00-05:00,316.17840351377913,317.565014483568,306.1452341336872,306.5216064453125,8973300,0.0,0.0,62.157113638548466,,,7324070.0,1.2251794425776925,-1.257101376212988,19.902022916944066,,,,
2025-11-14 00:00:00-05:00,304.57044575572996,304.69920788981074,298.3504790333013,300.70770263671875,10327000,0.0,0.0,49.31369838444012,,,7332745.0,1.4083402600254067,-3.3735355637252273,21.179051569216302,,,,
2025-11-17 00:00:00-05:00,301.0939616708072,302.66875869849656,294.8244855709175,297.4986572265625,8344000,0.0,0.0,43.96903446457538,,,7405200.0,1.1267757791821964,-5.213178162668619,20.78809702998536,,,,
2025-11-18 00:00:00-05:00,296.6369875977812,300.05402007948175,294.1806837974681,296.5478515625,8077300,0.0,0.0,42.76904556149608,,,7440430.0,1.085595859379095,-5.135925943136699,19.81919368457229,,,,
2025-11-19 00:00:00-05:00,296.8746866890342,301.5396841634701,296.409178349521,300.3709411621094,5546600,0.0,0.0,42.67394469769586,,,7315055.0,0.7582444697955107,-5.349399884410078,19.879545583733034,,,,
2025-11-20 00:00:00-05:00,303.411609711364,306.95740445253,295.3098117912242,295.5277099609375,7501600,0.0,0.0,35.94441033715901,,,7418195.0,1.0112433010995263,-3.5866628169771264,20.85315532618341,,,,
2025-11-21 00:00:00-05:00,298.40987233529637,298.7961284719156,290.01092472978763,295.1711120605469,11766800,0.0,0.0,37.0985692131725,,,7645120.0,1.5391256121552048,-1.8411868161756328,19.569193002731065,,,,
2025-11-24 00:00:00-05:00,295.3890327721484,296.9539460474125,291.69470820468445,295.1513366699219,10940200,0.0,0.0,37.16632501272415,,,7910020.0,1.3830812058629434,-0.7890188744122617,18.989882464666287,,,,
2025-11-25 00:00:00-05:00,297.18170363006027,301.5891765934406,292.7346348034667,300.103515625,8877200,0.0,0.0,40.6465236735507,,,8037080.0,1.104530501127275,1.1990186554262205,19.94996031170755,,,,
2025-11-26 00:00:00-05:00,302.0844103036798,305.5806647286523,300.30162915288383,304.6991882324219,7910900,0.0,0.0,44.13791336227882,,,8056610.0,0.9819142294339679,1.4409673098092934,20.708513123340218,,,,
2025-11-28 00:00:00-05:00,306.14525372757277,310.7210853336642,305.29345893213815,310.0871887207031,4322400,0.0,0.0,48.952759525624884,,,7897000.0,0.5473470938331012,4.926603587084966,21.158112395866645,,,,
2025-12-01 00:00:00-05:00,309.958455126882,311.038031953238,305.5906076467962,305.96697998046875,7727300,0.0,0.0,42.81075906937652,,,7897300.0,0.9784736555531638,3.6574947475576103,21.637359069198713,,,,
2025-12-02 00:00:00-05:00,305.7886541478843,307.5120415313108,304.1544330268201,304.9368896484375,7249000,0.0,0.0,42.98912309335965,,,7871250.0,0.9209464824519612,3.315435765571051,21.57577455718746,,,,
2025-12-03 00:00:00-05:00,304.26340519365976,309.37405277594195,303.86720471987456,309.1462707519531,8535300,0.0,0.0,42.425916457766924,,,7943755.0,1.0744666722475706,3.01321199390836,22.13620275600918,,,,
2025-12-04 00:00:00-05:00,310.2654601734084,315.44544563675794,310.00793592177615,313.07830810546875,9627800,0.0,0.0,56.93918707673704,,,8081885.0,1.1912814894050088,2.7499646197466587,22.414374365989413,,,,
