Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI_14,MA_50,MA_200,Vol_20d_Avg,Vol_Ratio,Momentum_5d,Volatility_20d,52w_High,52w_Low,Dist_from_52w_High,Dist_from_52w_Low
2025-10-01 00:00:00-04:00,919.1048988406222,920.1006787960291,907.324804950434,913.4688110351562,2642100,0.0,0.0,,,,,,,,,,,
2025-10-02 00:00:00-04:00,908.7089894599031,914.6338925834134,906.1697626291381,912.9012451171875,2063800,0.0,0.0,,,,,,,,,,,
2025-10-03 00:00:00-04:00,911.7262255210618,914.2255822365788,907.3547367892018,911.51708984375,2319200,0.0,0.0,,,,,,,,,,,
2025-10-06 00:00:00-04:00,911.6365795119693,911.9154270820035,900.4340546408501,907.0958251953125,2504000,0.0,0.0,,,,,,,,,,,
2025-10-07 00:00:00-04:00,904.8951223841873,913.7675560473934,900.065613788979,910.9395141601562,2601800,0.0,0.0,,,,,,,,,,,
2025-10-08 00:00:00-04:00,908.6890416794313,912.512863547337,907.1157530698373,910.9395141601562,2376900,0.0,0.0,,,,,,-0.27688924289968053,,,,,
2025-10-09 00:00:00-04:00,928.3756414147282,939.7873019968866,923.366899661988,938.9110107421875,3742900,0.0,0.0,,,,,,2.8491324515239613,,,,,
2025-10-10 00:00:00-04:00,940.4345515615572,941.4602341576804,925.0796406367434,926.0853881835938,3142500,0.0,0.0,,,,,,1.5982474165504579,,,,,
2025-10-13 00:00:00-04:00,925.0796240788637,932.0301490606819,919.1049440525201,931.6119384765625,2169600,0.0,0.0,,,,,,2.702703793832506,,,,,
2025-10-14 00:00:00-04:00,936.292122007279,943.4218801373512,932.0003125949146,942.5157470703125,1925900,0.0,0.0,,,,,,3.466336943267634,,,,,
2025-10-15 00:00:00-04:00,942.0078477333926,959.9318871194403,941.2709802830466,950.9598999023438,2009800,0.0,0.0,,,,,,4.393308789451789,,,,,
2025-10-16 00:00:00-04:00,951.5075243883481,953.8576111942443,917.272605822159,921.7138061523438,2721400,0.0,0.0,,,,,,-1.8316117707736446,,,,,
2025-10-17 00:00:00-04:00,925.6572080095298,934.8582056699175,924.2332498742402,932.3787231445312,2502200,0.0,0.0,,,,,,0.6795631419345805,,,,,
2025-10-20 00:00:00-04:00,932.2392863518073,935.8340375872455,927.5690756920449,932.1596069335938,1523700,0.0,0.0,58.055097572344096,,,,,0.05878718749856571,,,,,
2025-10-21 00:00:00-04:00,932.1595524576505,939.3889246039391,931.0542513020833,933.543701171875,1448200,0.0,0.0,58.54959883505422,,,,,-0.9519253048371756,,,,,
2025-10-22 00:00:00-04:00,936.0331774159066,948.9783171035734,928.5648275960989,940.6934204101562,2372400,0.0,0.0,61.207906998496085,,,,,-1.0795912102331329,,,,,
2025-10-23 00:00:00-04:00,941.4800744611571,941.4800744611571,930.546429660558,938.0745239257812,1974800,0.0,0.0,60.60435904747282,,,,,1.7750323000731205,,,,,
2025-10-24 00:00:00-04:00,936.0331758749339,939.020515797939,926.2247674387684,928.2063598632812,1639400,0.0,0.0,58.07803209679204,,,,,-0.44749662102737675,,,,,
2025-10-27 00:00:00-04:00,926.2844913292693,929.2618636622981,921.2159446298135,925.9259643554688,1967600,0.0,0.0,55.80406614145831,,,,,-0.6687312485713748,,,,,
2025-10-28 00:00:00-04:00,922.9585954212404,926.7923240756604,916.316759898813,920.260009765625,2090800,0.0,0.0,53.457952813675384,,,2286950.0,0.9142307440040228,-1.4229319301897747,,,,,
2025-10-29 00:00:00-04:00,915.121768089012,915.9980593015107,905.462690481413,908.5695190429688,2449600,0.0,0.0,37.1963836734736,,,2277325.0,1.075647964168487,-3.4149171951453616,19.576921222996663,,,,
2025-10-30 00:00:00-04:00,908.8384316450666,919.1049207994917,906.5282148000176,916.2968139648438,2677100,0.0,0.0,45.683656156608755,,,2307990.0,1.1599270360790124,-2.321533034475687,19.81721193143651,,,,
2025-10-31 00:00:00-04:00,913.6343234847549,917.4136469236963,907.1226517545758,908.8876953125,2456300,1.3,0.0,40.14322627103388,,,2314845.0,1.0611077631547685,-2.081289828010524,20.03135438203211,,,,
2025-11-03 00:00:00-05:00,909.8350444016509,926.5778216871088,905.8263261302335,925.4310302734375,3206600,0.0,0.0,42.935046526583804,,,2349975.0,1.3645251545229204,-0.05345287864086945,20.951668466032185,,,,
2025-11-04 00:00:00-05:00,930.5865372597931,938.5241207738377,926.3584058254817,938.0953369140625,2554500,0.0,0.0,44.8595988315064,,,2347610.0,1.0881279258479901,1.9380747787768993,21.40376573379752,,,,
2025-11-05 00:00:00-05:00,937.3574271067811,942.6226129331292,924.8327388131737,932.4014282226562,2974800,0.0,0.0,55.26070701960365,,,2377505.0,1.251227652518081,2.623014384721012,21.570088410398167,,,,
